run,step,epoch_accuracy,epoch_loss
"adam,run_1/train",0,0.966866672039032,0.1101955845952034
"adam,run_1/train",1,0.9862833619117737,0.042436979711055756
"adam,run_1/train",2,0.9893333315849304,0.032621677964925766
"adam,run_1/train",3,0.9919333457946777,0.02612113580107689
"adam,run_1/train",4,0.9917333126068115,0.024741649627685547
"adam,run_1/train",5,0.9936666488647461,0.020496061071753502
"adam,run_1/train",6,0.9936666488647461,0.020288236439228058
"adam,run_1/train",7,0.9938833117485046,0.01910313032567501
"adam,run_1/train",8,0.9947333335876465,0.01549610961228609
"adam,run_1/train",9,0.9948833584785461,0.015294574201107025
"adam,run_1/train",10,0.9956666827201843,0.013060865923762321
"adam,run_1/train",11,0.9960500001907349,0.011298803612589836
"adam,run_1/train",12,0.9959499835968018,0.011925814673304558
"adam,run_1/train",13,0.9965166449546814,0.01036591362208128
"adam,run_1/train",14,0.9966833591461182,0.009813960641622543
"adam,run_1/train",15,0.9966333508491516,0.010028664954006672
"adam,run_1/train",16,0.996833324432373,0.00952963437885046
"adam,run_1/train",17,0.9972166419029236,0.008406787179410458
"adam,run_1/train",18,0.9975333213806152,0.007762306835502386
"adam,run_1/train",19,0.9970166683197021,0.008220463991165161
"adam,run_1/validation",0,0.9873999953269958,0.03619055822491646
"adam,run_1/validation",1,0.9879000186920166,0.03564421087503433
"adam,run_1/validation",2,0.9901000261306763,0.02999330498278141
"adam,run_1/validation",3,0.9882000088691711,0.038514260202646255
"adam,run_1/validation",4,0.9901000261306763,0.026258718222379684
"adam,run_1/validation",5,0.9905999898910522,0.029595941305160522
"adam,run_1/validation",6,0.993399977684021,0.0224035382270813
"adam,run_1/validation",7,0.9925000071525574,0.025218181312084198
"adam,run_1/validation",8,0.9879999756813049,0.03843418136239052
"adam,run_1/validation",9,0.9908000230789185,0.032574012875556946
"adam,run_1/validation",10,0.9916999936103821,0.03409995883703232
"adam,run_1/validation",11,0.9921000003814697,0.031872719526290894
"adam,run_1/validation",12,0.9921000003814697,0.029873410239815712
"adam,run_1/validation",13,0.9919000267982483,0.028704553842544556
"adam,run_1/validation",14,0.9926000237464905,0.025088245049118996
"adam,run_1/validation",15,0.9940999746322632,0.023114850744605064
"adam,run_1/validation",16,0.9943000078201294,0.021836156025528908
"adam,run_1/validation",17,0.9937999844551086,0.024688832461833954
"adam,run_1/validation",18,0.9904000163078308,0.03681828826665878
"adam,run_1/validation",19,0.9926999807357788,0.026015331968665123
"adam,run_2/train",0,0.9668499827384949,0.11174365878105164
"adam,run_2/train",1,0.987666666507721,0.04012824967503548
"adam,run_2/train",2,0.9897833466529846,0.03264182433485985
"adam,run_2/train",3,0.9911166429519653,0.02825884148478508
"adam,run_2/train",4,0.9926999807357788,0.023740015923976898
"adam,run_2/train",5,0.9933000206947327,0.021343136206269264
"adam,run_2/train",6,0.9936500191688538,0.019595928490161896
"adam,run_2/train",7,0.9940333366394043,0.018405355513095856
"adam,run_2/train",8,0.9950000047683716,0.01522518415004015
"adam,run_2/train",9,0.9957000017166138,0.013052644208073616
"adam,run_2/train",10,0.9945833086967468,0.015140055678784847
"adam,run_2/train",11,0.9958333373069763,0.01333858072757721
"adam,run_2/train",12,0.9961666464805603,0.011834769509732723
"adam,run_2/train",13,0.9966333508491516,0.010011753998696804
"adam,run_2/train",14,0.9971166849136353,0.008968322537839413
"adam,run_2/train",15,0.9969666600227356,0.00844331830739975
"adam,run_2/train",16,0.996749997138977,0.009534021839499474
"adam,run_2/train",17,0.9970166683197021,0.008167405612766743
"adam,run_2/train",18,0.9972166419029236,0.008638357743620872
"adam,run_2/train",19,0.9977666735649109,0.006783970631659031
"adam,run_2/validation",0,0.9890000224113464,0.031572844833135605
"adam,run_2/validation",1,0.9914000034332275,0.02705049142241478
"adam,run_2/validation",2,0.9909999966621399,0.025804094970226288
"adam,run_2/validation",3,0.9919000267982483,0.026062656193971634
"adam,run_2/validation",4,0.992900013923645,0.02142912521958351
"adam,run_2/validation",5,0.9919000267982483,0.025609636679291725
"adam,run_2/validation",6,0.9936000108718872,0.01956540159881115
"adam,run_2/validation",7,0.9803000092506409,0.06853621453046799
"adam,run_2/validation",8,0.994700014591217,0.018316926434636116
"adam,run_2/validation",9,0.9923999905586243,0.026742126792669296
"adam,run_2/validation",10,0.9925000071525574,0.027048837393522263
"adam,run_2/validation",11,0.9925000071525574,0.02611750178039074
"adam,run_2/validation",12,0.9930999875068665,0.024714255705475807
"adam,run_2/validation",13,0.9932000041007996,0.023451337590813637
"adam,run_2/validation",14,0.9937999844551086,0.022373896092176437
"adam,run_2/validation",15,0.9925000071525574,0.026176510378718376
"adam,run_2/validation",16,0.9944000244140625,0.02371087856590748
"adam,run_2/validation",17,0.9932000041007996,0.025230418890714645
"adam,run_2/validation",18,0.9937999844551086,0.026752382516860962
"adam,run_2/validation",19,0.9929999709129333,0.027121083810925484
"adam,run_3/train",0,0.9659000039100647,0.11494605988264084
"adam,run_3/train",1,0.986549973487854,0.043736569583415985
"adam,run_3/train",2,0.9904000163078308,0.03135088458657265
"adam,run_3/train",3,0.9906333088874817,0.029274754226207733
"adam,run_3/train",4,0.9926166534423828,0.023400766775012016
"adam,run_3/train",5,0.9925500154495239,0.02262456715106964
"adam,run_3/train",6,0.9939166903495789,0.019062193110585213
"adam,run_3/train",7,0.9940500259399414,0.018406223505735397
"adam,run_3/train",8,0.994616687297821,0.016082223504781723
"adam,run_3/train",9,0.9947166442871094,0.01571711152791977
"adam,run_3/train",10,0.9957500100135803,0.012736107222735882
